Parque Arqueologico,Elemento arqueológico,Nombre elemento arqueológico,Código ICANH,Descripción,Ubicación actual dentro del parque,Datos historicos,Dimensiones visibles,Técnica de elaboración,Datos bibliograficos
San Agustín,escultura,Guardián de tumba,No. 99,"Figura de rastros antropomorfos, nariz ancha, boca pequeña lineal;  brazos doblados y manos juntas a nivel del pecho",Bosque de las estatuas,"Procedente del montículo norte mesita B. Según los primeros arqueólogos este sitio fue muy saqueado; las estatuas removidas y las tumbas profanadas, de este montículo proceden las 31 esculturas columnares, denominadas “guardianes de tumba” , todas tienen características semejantes.",47 cm  x  44cm x 22 cm,"Talla poco profunda se trabaja con la forma de la piedra, angulos de talla, formas sencillas.","Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Escultura No 99
Pérez de Barradas José. Arqueología agustiniana. Excavaciones realizadas de marzo a diciembre de 1937. Imprenta nacional. Bogotá. 1943. Página 83;  Lámina 106 A
Preuss K. TH. Arte Monumental Prehistórico. Universidad nacional de Colombia. Bogotá. 1974.   Plancha: 35-1"
San Agustín,escultura,Guardián de tumba,No. 100,"Figura de rastros antropomorfos, nariz ancha, boca pequeña circular;  brazos doblados y manos juntas a nivel del pecho",Bosque de las estatuas,"Procedente del montículo norte mesita B. Según los primeros arqueólogos este sitio fue muy saqueado; las estatuas removidas y las tumbas profanadas, de este montículo proceden las 31 esculturas columnares, denominadas “guardianes de tumba” , todas tienen características semejantes.",53 cm  x  40cm x 25 cm,Talla poco profunda,"Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Escultura No 100"
San Agustín,escultura,Guardián de tumba,No. 101,"Figura de rastros antropomorfos, nariz ancha, boca pequeña circular;  brazos doblados y manos juntas a nivel del pecho",Bosque de las estatuas,"Procedente del montículo norte mesita B. Según los primeros arqueólogos este sitio fue muy saqueado; las estatuas removidas y las tumbas profanadas, de este montículo proceden las 31 esculturas columnares, denominadas “guardianes de tumba” , todas tienen características semejantes.",46 cm  x  36cm x 24 cm,"Talla poco profunda, formas poco detalladas","Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Escultura No 101"
San Agustín,escultura,figura humana,No. 102,Representación humana.,Bosque de las estatuas,la escultura procede del Montículo Norte. Mesita B,48cm  x  36cm  x 29cm,Talla poco profunda en la parte anterior. Sigue la forma de la roca.,"Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Pág. 69 Escultura No. 102"
San Agustín,escultura,Chamán con tocado con dos monos,No.107,"Tiene sobre la cabeza un tocado ancho, formado por seis fajas paralelas que se ven claramente en la parte trasera. A ambos lados de este tocado están esculpidas dos cabezas de monos en las cuales se observa otro adorno, dividido en cinco partes que se adelgazan hacia arriba. A los lados de estas cabezas se pueden ver, tanto por delante como por detrás, los brazos y las manos con tres dedos cada una. En los lóbulos de las orejas lleva orejeras grandes y redondas. Entre los colmillos de la figura principal aparecen siete dientes en el maxilar superior y otros tantos en el ionferior. El pelo partido lleva una cinta con trece círculos, que probablemente representan un adorno de oro. De ésta se desprenden otras dos cintas tripartidas, las cuales circundan la cara. Las dos cintas, en la parte posterior de la cabeza, demuestran que se trata de una representación masculina . De estas cintas pende, cosa bien rara, un triángulo con la punta hacia abajo, quizá una decoración en oro. Simboliza la figura de un varón por el cinturón que sostiene el  taparrabo. Las muñecas tienen en el lado superior fajas anchas. En los dedos se pueden ver las uñas. Los pies no están representados; pero la separación de las piernas se ve también en el lado posterior",Bosque de las estatuas,Esta escultura se encontró en meseta C,163cm  x 131cm x 36 cm,Piedra de color gris oscura. Talla con muchos detalles; restos de policromía blanca en ojos y párpados. Formas naturalistas muy bien logradas en todos los,"Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Pág. 72.  Escultura No.107
Pérez de Barradas José. Arqueología agustiniana. Excavaciones realizadas de marzo a diciembre de 1937. Imprenta nacional. Bogotá. 1943. Página 93;  Lámina 123, 124,125,126ª.
Duque Gómez, Luis. Exploraciones arqueológicas en San Agustín. Ministerio de Educación Nacional. Instituto Colombiano de Antropología. Revista  Colombiana de antropología. Suplemento No.1. Bogotá. 1964. Pag 477. Foto: XLIV, pag. 493
Reichel- Dolmatoff, Gerardo. San Agustín a culture of Colombia. Praeger Publishers. New York. Washington.  1972.  pág 71.
Gamboa Hinestrosa Pablo. La escultura en la sociedad agustiniana. Universidad Nacional de Colombia.  Bogotá. 1982. Pág. 199{. Lamina No.137
Preuss K. TH. Arte Monumental Prehistórico. Universidad nacional de Colombia. Bogotá. 1974. Pág. 87.  Plancha: 41:1-2; 42-1. Foto No. 39  
Cuervo Márquez Carlos. Estudios arqueológicos y etnográficos"
San Agustín,escultura,Chamán con dos bastones,No. 108,"Tiene en la cabeza una diadema de oro y por consiguiente  simboliza un varón. Presenta una espiral curvada hacia arriba que se observa a ambos lados de la nariz. Las manos cogen dos mazas  largas, de las cuales una parte reposa en el suelo y otra  llega hasta la boca, excesivamente ancha. Estas mazas terminan en punta y por detrás de ellas, como dos protuberancias, aparecen los dedos pulgares. Quizá servían para abrir las trochas y romper la maraña de la selva; sin embargo, por la forma que representan y por ser dos, se trata mas bien de instrumentos relacionados con el culto. Anchas cintas adornan las muñecas de la estatua; el dorso de las manos no se alcanza a ver; las piernas están apenas en esbozo y el ornamento en forma de corazón que aparece en la espalda, puede ser símbolo de un adorno de oro o acaso representa también una pintura o un tatuaje.",Bosque de las estatuas,"Preuss la ubica en la plaza de san Agustín y fue descrita por Codazzi con el número 27. Procedencia mesita C, Según Codazzi  describe las estatuas que vio  en esta Mesita y dice  que estaban en fila; éstas son los números 107 a 112.",174cm  x 109cm x  25cm,Piedra blanca grisácea. Talla poco profunda es casi un relieve con formas muy ortogonales y precisas; detalles claramente esculpidos,"Preuss K. TH. Arte Monumental Prehistórico. Universidad nacional de Colombia. Bogotá. 1974. Pág. 86. Plancha: 41:3-4; fotos 41 y 42.
Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Pág. 74. Escultura No. 108
Nachtigall, Horst. Guía de la arqueología agustiniana. Bogotá. Junio 6 de 1953. Foto Estatua sobre lozas de piedra estilizada (# 126)
Gamboa Hinestrosa Pablo. La escultura en la sociedad agustiniana. Universidad Nacional de Colombia.  Bogotá. 1982. Pág. 206. Lamina 139-140. 
Duque Gómez, Luis. Exploraciones arqueológicas en San Agustín. Ministerio de Educación Nacional. Instituto Colombiano de Antropología. Revista  Colombiana de antropología. Suplemento No.1. Bogotá. 1964. Pa´g474. Lámina XXXIII.
Hernández de Alba, Gregorio. La  cultura arqueológica de San Agustín. Carlos Valencia Editores. Bogotá. Bogotá. 1979. Fotografía. Deidad aureolada que sostiene dos bastones. Pág. 131.
Reichel – Dolmatoff, Gerardo. San Agustín, a culture of Colombia. Praeger Publishers. New York. 1972. página 99. Lámina 67; Fig. 14.
Cuervo Márquez Carlos. Estudios arqueológicos y etnográficos.  Editorial Kelly. 1956. Pág. 140, figura 23."
San Agustín,Sarcófago,Sarcófago,S-2,Sarcófago monolítico profundo de paredes relativamente gruesas.,Mesita B,Se desconoce su procedencia exacta dentro del área arqueológica de San Agustín.,235cm  x 73cm  x 48cm.,Talla monolítica precisa,Pérez de Barradas José. Arqueología agustiniana.. Excavaciones realizadas de marzo a diciembre de 1937. Imprenta nacional. Bogotá. 1943.  P.94.
San Agustín,escultura,Chamán que saca serpiente de su boca,No. 113,"La cabeza es desproporcionada  respecto al resto del cuerpo.  Tiene un tocado semi esferico coronado por un adorno de dos escalones. Por delante este tocado esta recortado en escalones en el centro; a los lados baja una prolongación escalonada del mismo. Los ojos son elípticos con indicación de la pupila, que es circular. El relieve de las cejas es vigoroso. La nariz es gruesa, arqueada y ancha en la base, la boca larga y con los colmillos slaientes,es arqueada en los extremos. De ella sale una cinta con rayas profundas horizontales que debajo de las manos termina en una cabeza de animal casi redonda y muy esquemática. Sus ojos muy oblicuos estan situados entre la boca y el extremo superior de la nariz; ésta es gruesa y muy ancha en su base. 
Las orejas están indicadas sin ningún carácter en especial, como los hombros. Los brazos en su arranque apenas están diferenciados del torax y doblan en ángulo. Son planos, por lo que las manos, aun dentro de la técnica plana, están talladas con mayor relieve. Lleva taparrabo atado a la cintura. Las extremidades inferiores son sumamente cortas y no tiene indicaciones de rodillas, de piernas ni de pies. La parte posterior es lisa”",Bosque de las estatuas,"Procedente  de la mesita C. Ubicada  al suroeste de San Agustín, a unos 400 metros de la Mesita A, en dirección norte-noroeste.",105 cm  x  55cm x 18 cm,"Piedra de color gris.  Talla profunda, formas detalladas, formas ortogonales diferentes volúmenes superpuestos.","Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Escultura No 113
Hernández de Alba, Gregorio. La  cultura arqueológica de San Agustín. Carlos Valencia Editores. Bogotá. Bogotá. 1979. pág. 27
Pérez de Barradas José. Arqueología agustiniana. Excavaciones realizadas de marzo a diciembre de 1937. Imprenta nacional. Bogotá. 1943. Página93;  Lámina126 B, 127 Y 128
Duque Gómez, Luis. Exploraciones arqueológicas en San Agustín. Ministerio de Educación Nacional. Instituto Colombiano de Antropología. Revista  Colombiana de antropología. Suplemento No.1. Bogotá. 1964. Lamina XXXVII."
San Agustín,escultura,Figura con tocado y taparrabo,No. 137,"Llleva sobre la cabeza un tocado en forma de segmento de cono con dos lineas transversales que forman una saliente. La cara tiene rasgos de mono. Orejas grandes, adornados con orejeras de apariencia discoidal. Los ojos y la boca se encuentran cerrados. Los brazos están replegados sobre el pecho. las manos que se dirigen hacia lo alto, sostienen un objeto diferente en cada una. Con la derecha, entre el índice y el dedo mayor, sostiene una especie de vasija, de la que sólo se distingue la pared mas ancha. Lleva en la cintura una banda pendiente bastante ancha que forma un taparrabos.",Bosque de las estatuas,Procedencia alto del Lavapatas,85cm  x  40cm x 25 cm,Tallada  profunda; rasgos bien definidos; trabajo de talla en la parte posterior,"Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Pág. 64. Escultura No.137
Hernández de Alba, Gregorio. La  cultura arqueológica de San Agustín. Carlos Valencia Editores. Bogotá. Bogotá. 1979.   Pág: 27
Pérez de Barradas José. Arqueología agustiniana.. Excavaciones realizadas de marzo a diciembre de 1937. Imprenta nacional. Bogotá. 1943. Página 102; Lámina 161"
San Agustín,escultura,Figura humana,No. 152,"Lleva tocado, grandes orejas, ojos semicirculares; los brazoso van juntos a nivel del pecho.",Bosque de las estatuas,"Proviene de lugar denominado la Inspección de Policía de Pradera; lugar rico  en material arqueológico; a esta región  pertenecen las veredas de Cascaja, Tapias y Palo Mocho, donde hay referencias de estatuaria. En el año de 1987 se encontraba en la Mesita D.",97cm x 64cm x 21cm,Piedra tallada. Volúmenes poco definidos.,"Sotomayor María Lucia, Uribe María Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987.  Escultura No. 152. 
Perez de Barradas Jose. Arqueología agustiniana.. Excavaciones realizadas de marzo a diciembre de 1937. Imprenta  
Nacional. Bogotá. 1943. Página131.  Láminas (188A)."
San Agustín,escultura,Chamán desnudo,No. 159,"Figura de varón con el pene erecto y amarrado.... el gorro en forma de punta hacia arriba, está roto, lo mismo que la nariz. Los lóbulos de las orejas  llevan bloques redondos; los ojos son redondos y los cuatro dedos algo curvados;l os colmillos largos,  como de costumbre, le dan a la figura un aspecto bestial. El cordón que pasa por encima el pene es muy visible. La figura esta esculpida hasta las rodillas, y en seguida empieza el zócalo.",Bosque de las estatuas,"Procedente  del sitio del Purutal, lugar ubicado en lo alto de un cerro. Al Norte de  Quebradillas, aproximadamente a 9 kilómetros de San Agustín.  Preuss quien fue el primero en reseñarlo, lo denominó “alto de las cruces”, por encontrar allí siete cruces para las celebraciones religiosas del 3 de mayo.
Tanto Preuss como Barradas  y Hernández de Alba, encontraron únicamente la estatua No. 159, posteriormente se encontró la No. 160; en 1985 los buscadores de tesoros encontraron al No. 162 y saquearon numerosas tumbas. , detrás de este templete se encontró otro  que contenía la estatua no. 161. (Sotomayor y Uribe)",135 cm  x 65cm x  35 cm,"Detalles elevadamente esculpidos, talla no tan profunda pero si muy precisa, poca incisión mucho relieve.","Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Escultura No 159
Pérez de Barradas José. Arqueología agustiniana. Excavaciones realizadas de marzo a diciembre de 1937. Imprenta nacional. Bogotá. 1943. Página 119
Preuss K. TH. Arte Monumental Prehistórico. Universidad nacional de Colombia. Bogotá. 1974. Pág. 106.  Plancha: 64,2  
Hernández de Alba, Gregorio. La  cultura arqueológica de San Agustín. Carlos Valencia Editores. Bogotá. Bogotá. 1979. pág. 47"
San Agustín,escultura,Culebra enrollada en un tronco.,No. 160,Culebra enrollada en un tronco.,Bosque de las estatuas,"Procedente  del sitio del Purutal, lugar ubicado en lo alto de un cerro. Al Norte de  Quebradillas, aproximadamente a 9 kilómetros de San Agustín.  Preuss quien fue el primero en reseñarlo, lo denominó “alto de las cruces”, por encontrar alli siete cruces para las celebraciones religiosas del 3 de mayo.
Tanto Preuss como Barradas  y Hernández de Alba, encontraron únicamente la estatua No. 159, posteriormente se encontró la No. 160; en 1985 los buscadores de tesoros encontraron al No. 162 y saquearon numerosas tumbas. , detrás de este templete se encontró otro  que contenía la estatua no. 161. (Sotomayor y Uribe)",150 cm  x 47cm x  37 cm,Trabajo escultórico  en la parte anterior solamente. Relieve con punteado en los espacios donde se elimino volumen.,"Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Escultura No 160"
San Agustín,escultura,Figura de una gran cabeza con la boca “cerrada”,No.  192,"Esta figura en vez de la boca, presenta  un relieve rectangular, los contornos del rostro  semejan una S y la curva inferior corresponde  a los lóbulos  de las orejas. Es de advertir, sin embargo, que en los bordes de la piedra  aparecen también protuberancias  como lóbulos de orejas  y debajo de las comisuras bucales hay una cavidad circular; las aletas  de la nariz  no tienen espacio en que desarrollarse.” Preuss.",Bosque de las estatuas,"Esta escultura se encontró en el sitio denominado  Las Moyas, ubicado a  2.5 kilómetros al Noroeste del pueblo de San Agustín, donde se encuentra una serie de concavidades redondas  o  “moyas” (nombre que se le da a las ollas grandes).  Preuss, la ubicó en la plaza de San Agustín.",107cm  x 115cm x 40 cm,"Talla profunda de formas redondas con grandes orificios adelante y atrás pulidos, formas claramente talladas.","Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Pág. 120.  Escultura No.192
Pérez de Barradas José. Arqueología agustiniana. Excavaciones realizadas de marzo a diciembre de 1937. Imprenta nacional. Bogotá. 1943. Página 31;  Lámina 18A.
Preuss K. TH. Arte Monumental Prehistórico. Universidad nacional de Colombia. Bogotá. 1974. Pág 59.  Plancha: 12, 1-2"
San Agustín,escultura,Figura  de mujer  con delantal,No. 194,"Según Preuss la escultura tiene una figura de mujer, con un taparrabo que le cuelga de la cintura y que a primera vista parece más una protuberancia de la piedra. Unas fajas  o cintas en las rodillas indican que se trata de una mujer. Descubrió también los pechos, además por las mejillas, una ranura que atraviesa el hueso nasal  y se dirige a la altura del borde inferior de los ojos y por la ausencia de boca. Las orejas están bien esculpidas  y en la cabeza lleva un gorro escalonado por los lados y echado hacia atrás.  Por la espalda se ven unas cavidades, cerca de la cabeza, lo mismo que en la parte donde comienza el taparrabo. Las manos que presentan los cinco dedos, no agarran cosa alguna, a menos que un saliente que aparece debajo de la mano derecha  indicara que allí  había el mango de alguna herramienta. En los pies se ven claramente  los cinco dedos.",Bosque de las estatuas,Esta escultura se encontró a unos 300 metros al sur de  las Moyas.,145cm  x 70cm x 37 cm,"Formas redondeadas, no muy detalladas ; volúmenes generales.","Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Pág. 121.  Escultura No.194
Pérez de Barradas José. Arqueología agustiniana. Excavaciones realizadas de marzo a diciembre de 1937. Imprenta nacional. Bogotá. 1943. Página 32;  Lámina 21 y 22.
Preuss K. TH. Arte Monumental Prehistórico. Universidad nacional de Colombia. Bogotá. 1974. Pág 58-59.  Plancha: 11, 2-3"
San Agustín,escultura,Columna en piedra con una cara en relieve,No. 195,"Rostro con ojos muy redondos y algo ovalados, una nariz ancha, una boca muy grande y algunos inicios de orejas con orejeras. Una parte saliente, al pie de la estatua, parece darnos a entender que se trata de las manos y de los brazos, que penderían en este caso directamente del rostro, ... de esta misma pende otra cara de la cual pende una faja ancha, de ella no se puede ver ni las narices, ni los ojos, sino una orejeras, que revelan que allí hubo orejas.",Bosque de las estatuas,"Esta escultura se encontró en el sitio denominado  Las Moyas, ubicado a  2.5 kilómetros al Noroeste del pueblo de San Agustín, donde se encuentra una serie de concavidades redondas  o  “moyas” (nombre que se le da a las ollas grandes).",105 cm  x  52cm x 35 cm,"Talla poco profunda, formas claras que aprovechan la forma de la piedra","Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Esc. No 195
Pérez de Barradas José. Arqueología agustiniana. Excavaciones realizadas de marzo a diciembre de 1937. Imprenta nacional. Bogotá. 1943. Página 32;  Lámina 20ª
Preuss K. TH. Arte Monumental Prehistórico. Universidad nacional de Colombia. Bogotá. 1974. Pág. 58.  Plancha: 11-4"
San Agustín,escultura,Chamán murciélago,No. 197,Representación de un murciélago. La nariz y la boca aparecen curiosamente estilizadas.,Bosque de las estatuas,Según Sotomayor y Uribe esta escultura fue encontrada por buscadores de tesoros en el área de El Batán.,97cm  x 55cm x 32 cm,Cara con muchos volúmenes;  en el cuerpo la talla es poco profunda y las formas son bien claras y definidas. La parte posterior no esta trabajada.,"Duque Gómez, Luis. Exploraciones arqueológicas en San Agustín. Ministerio de Educación Nacional. Instituto Colombiano de Antropología. Revista  Colombiana de antropología. Suplemento No.1. Bogotá. 1964. Lámina XLII. 
Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Pág. 122. Escultura No. 197
Velandia Jagua, César Augusto. San Agustín. Arte, estructura y arquitectura. Fondo de promoción de la cultura del Banco Popular. Santafé de Bogotá, 1994. Página 64. Foto 11.
Reichel – Dolmatoff, Gerardo. San Agustín, a culture of Colombia. Praeger Publishers. New York. 1972. Pág. 79. Lámina 48."
